dbn,school_name,complaints,material_incidents
01M448,University Neighborhood High School,0,0
01M509,Marta Valle High School,0,0
01M650,Cascades High School,0,0
01M696,Bard High School Early College,0,0
02M047,47 The American Sign Language and English Secondar,0,0
02M135,The Urban Assembly School for Emergency Management,0,0
02M139,Stephen T. Mather Building Arts & Craftsmanship Hi,0,0
02M280,Manhattan Early College School for Advertising,0,0
02M282,Urban Assembly Maker Academy,0,0
02M288,Food and Finance High School,0,0
02M294,Essex Street Academy,0,0
02M296,High School of Hospitality Management,0,0
02M298,Pace High School,10,0
02M300,"Urban Assembly School of Design and Construction,",0,0
02M303,"Facing History School, The",0,0
02M305,"Urban Assembly Academy of Government and Law, The",0,0
02M308,Lower Manhattan Arts Academy,0,0
02M316,"Urban Assembly School of Business for Young Women,",6,0
02M374,Gramercy Arts High School,0,0
02M376,NYC iSchool,0,0
02M392,MANHATTAN BUSINESS ACADEMY,0,0
02M393,Business Of Sports School,6,0
02M399,The High School For Language And Diplomacy,0,0
02M400,High School for Environmental Studies,14,0
02M411,Baruch College Campus High School,8,0
02M412,N.Y.C. Lab School for Collaborative Studies,0,0
02M414,N.Y.C. Museum School,0,0
02M416,Eleanor Roosevelt High School,0,0
02M419,Landmark High School,0,0
02M420,High School for Health Professions and Human Servi,0,0
02M425,Leadership and Public Service High School,0,0
02M427,MANHATTAN ACADEMY FOR ARTS & LANGUAGE,0,0
02M432,Murray Hill Academy,0,0
02M438,International High School at Union Square,0,0
02M449,Vanguard High School,0,0
02M475,Stuyvesant High School,9,0
02M489,High School of Economics and Finance,0,0
02M500,Unity Center for Urban Technologies,0,0
02M507,Urban Assembly Gateway School for Technology,0,0
02M519,Talent Unlimited High School,0,0
02M520,Murry Bergtraum High School for Business Careers,0,0
02M529,Jacqueline Kennedy Onassis High School,7,0
02M531,Repertory Company High School for Theatre Arts,0,0
02M533,Union Square Academy for Health Sciences,6,0
02M534,Harvest Collegiate High School,10,8
02M542,Manhattan Bridges High School,0,0
02M543,New Design High School,0,0
02M544,Independence High School,0,0
02M546,Academy for Software Engineering,0,0
02M550,Liberty High School Academy for Newcomers,0,0
02M551,Urban Assembly New York Harbor School,0,0
02M560,High School M560 - City As School,0,0
02M565,Urban Academy Laboratory High School,0,0
02M570,Satellite Academy High School,0,0
02M575,Manhattan Comprehensive Night and Day High School,0,0
02M580,Richard R. Green High School of Teaching,0,0
02M600,The High School of Fashion Industries,11,0
02M615,Chelsea Career and Technical Education High School,0,0
02M630,Art and Design High School,7,0
03M299,The Maxine Greene HS for Imaginative Inquiry,9,0
03M402,The Urban Assembly School for Green Careers,16,6
03M403,The Global Learning Collaborative,0,0
03M404,Innovation Diploma Plus,6,0
03M417,Frank Mccourt High School,0,0
03M479,Beacon High School,0,0
03M485,Fiorello H. LaGuardia High School of Music & Art a,13,7
03M494,High School of Arts and Technology,0,0
03m505,Edward A. Reynolds West Side High School,0,0
03M541,Manhattan / Hunter Science High School,0,0
04M435,Manhattan Center for Science and Mathematics,6,0
04M495,Park East High School,0,0
04M680,"Heritage School, The",10,0
05M157,The Urban Assembly School for Global Commerce,0,0
05M285,Harlem Renaissance High School,0,0
05M304,Mott Hall High School,0,0
05M367,Academy for Social Action,0,0
05M369,Urban Assembly School for the Performing Arts,0,0
05M692,"High School for Mathematics, Science and Engineeri",0,0
06M462,The College Academy,0,0
06M463,High School for Media and Communications,0,0
06M467,High School for Law and Public Service,0,0
06M540,A. Philip Randolph Campus High School,0,0
06M552,Gregorio Luperon High School for Science and Mathe,0,0
07X259,"H.E.R.O. High (Health, Education, and Research Occ",0,0
07X334,International Community High School,0,0
07X381,Bronx Haven High School,0,0
07X427,Community School for Social Justice,0,0
07X473,Mott Haven Village Preparatory High School,0,0
07X522,Bronx Design and Construction Academy,12,0
