dbn,school_name,grade,year,demographic_category,demographic_variable,num_total_days,num_days_absent,num_days_present,percent_attendance,num_chronically_absent,percent_chronically_absent
09X263,Validus Preparatory Academy,All Grades,2017-18,All Students,All Students,60713,13121,47592,78.4,246,62
09X263,Validus Preparatory Academy,All Grades,2016-17,SWD Status,Not SWD,45376,8540,36836,81.2,159,52.6
09X263,Validus Preparatory Academy,All Grades,2016-17,SWD Status,SWD,17035,4577,12458,73.1,75,68.2
09X263,Validus Preparatory Academy,All Grades,2017-18,SWD Status,Not SWD,43044,8065,34979,81.3,156,55.9
09X263,Validus Preparatory Academy,All Grades,2017-18,SWD Status,SWD,17669,5056,12613,71.4,90,76.3
09X263,Validus Preparatory Academy,All Grades,2016-17,Ethnicity,Asian,166,0,0,0,0,0
09X263,Validus Preparatory Academy,All Grades,2016-17,Ethnicity,Black,17887,3150,14737,82.4,59,50.4
09X263,Validus Preparatory Academy,All Grades,2016-17,Ethnicity,Hispanic,43308,9605,33703,77.8,170,59.4
09X263,Validus Preparatory Academy,All Grades,2016-17,Ethnicity,Other,326,0,0,0,0,0
09X263,Validus Preparatory Academy,All Grades,2016-17,Ethnicity,White,724,0,0,0,0,0
09X263,Validus Preparatory Academy,All Grades,2017-18,Ethnicity,Asian,164,0,0,0,0,0
09X263,Validus Preparatory Academy,All Grades,2017-18,Ethnicity,Black,16862,3173,13689,81.2,61,53.5
09X263,Validus Preparatory Academy,All Grades,2017-18,Ethnicity,Hispanic,42557,9662,32895,77.3,179,65.6
09X263,Validus Preparatory Academy,All Grades,2017-18,Ethnicity,Other,334,0,0,0,0,0
09X263,Validus Preparatory Academy,All Grades,2017-18,Ethnicity,White,796,0,0,0,0,0
09X263,Validus Preparatory Academy,All Grades,2016-17,Gender,Female,35614,6907,28707,80.6,135,58.7
09X263,Validus Preparatory Academy,All Grades,2016-17,Gender,Male,26797,6210,20587,76.8,99,54.4
09X263,Validus Preparatory Academy,All Grades,2017-18,Gender,Female,31084,6026,25058,80.6,118,58.1
09X263,Validus Preparatory Academy,All Grades,2017-18,Gender,Male,29629,7095,22534,76.1,128,66
09X263,Validus Preparatory Academy,All Grades,2016-17,Poverty,Not Poverty,8301,2334,5967,71.9,32,52.5
09X263,Validus Preparatory Academy,All Grades,2016-17,Poverty,Poverty,54110,10783,43327,80.1,202,57.5
09X263,Validus Preparatory Academy,All Grades,2017-18,Poverty,Not Poverty,6721,1262,5459,81.2,25,53.2
09X263,Validus Preparatory Academy,All Grades,2017-18,Poverty,Poverty,53992,11859,42133,78,221,63.1
09X263,Validus Preparatory Academy,All Grades,2016-17,ELL Status,ELL,10603,2971,7632,72,46,63
09X263,Validus Preparatory Academy,All Grades,2016-17,ELL Status,Not ELL,51808,10146,41662,80.4,188,55.5
09X263,Validus Preparatory Academy,All Grades,2017-18,ELL Status,ELL,12323,3324,8999,73,56,68.3
09X263,Validus Preparatory Academy,All Grades,2017-18,ELL Status,Not ELL,48390,9797,38593,79.8,190,60.3
02M543,New Design High School,All Grades,2016-17,All Students,All Students,65213,9046,56167,86.1,180,43.5
02M543,New Design High School,All Grades,2017-18,All Students,All Students,67563,10566,56997,84.4,217,49.9
02M543,New Design High School,All Grades,2016-17,SWD Status,Not SWD,47766,6241,41525,86.9,130,42.9
02M543,New Design High School,All Grades,2016-17,SWD Status,SWD,17447,2805,14642,83.9,50,45
