dbn,location,postal_code,coordinates
08X519,"1440 Story Avenue, Bronx NY 10473(40.820486, -73.881187)",10473,"40.820486,-73.881187"
13K350,"49 Flatbush Avenue Extension, Brooklyn NY 11201(40.69733, -73.984528)",11201,"40.69733,-73.984528"
28Q680,"160-20 Goethals Avenue, Jamaica NY 11432(40.718027, -73.805923)",11432,"40.718027,-73.805923"
08X282,"456 White Plains Road, Bronx NY 10473(40.815043, -73.85607)",10473,"40.815043,-73.85607"
25Q285,"34-65 192nd Street, Flushing NY 11358(40.764884, -73.789365)",11358,"40.764884,-73.789365"
13K499,"561 Grand Avenue, Brooklyn NY 11238(40.678591, -73.961636)",11238,"40.678591,-73.961636"
27Q351,"100-00 Beach Channel Drive, Rockaway Park NY 11694(40.586012, -73.825317)",11694,"40.586012,-73.825317"
02M316,"26 Broadway, Manhattan NY 10004(40.705688, -74.013303)",10004,"40.705688,-74.013303"
11X249,"750 Baychester Avenue, Bronx NY 10475(40.874035, -73.831669)",10475,"40.874035,-73.831669"
02M529,"120 West 46th Street, Manhattan NY 10036(40.757626, -73.98346)",10036,"40.757626,-73.98346"
02M414,"333 West 17th Street, Manhattan NY 10011(40.742512, -74.002222)",10011,"40.742512,-74.002222"
12X684,"1122 East 180th Street, Bronx NY 10460(40.841376, -73.875262)",10460,"40.841376,-73.875262"
11X270,"921 East 228th Street, Bronx NY 10466(40.888242, -73.852714)",10466,"40.888242,-73.852714"
11X418,"2040 Antin Place, Bronx NY 10462(40.851577, -73.864438)",10462,"40.851577,-73.864438"
12X248,"1180 Rev. J.A. Polite Avenue, Bronx NY 10459(40.827539, -73.896925)",10459,"40.827539,-73.896925"
11X544,"800 East Gun Hill Road, Bronx NY 10467(40.875172, -73.861649)",10467,"40.875172,-73.861649"
29Q327,"171-10 Linden Boulevard, Jamaica NY 11434(40.69172, -73.778924)",11434,"40.69172,-73.778924"
09X543,"1110 Boston Road, Bronx NY 10456(40.827455, -73.90392)",10456,"40.827455,-73.90392"
13K595,"1119 Bedford Avenue, Brooklyn NY 11216(40.685486, -73.953692)",11216,"40.685486,-73.953692"
03M494,"122 Amsterdam Avenue, Manhattan NY 10023(40.774891, -73.985608)",10023,"40.774891,-73.985608"
10X237,"120 West 231st Street, Bronx NY 10463(40.875636, -73.901565)",10463,"40.875636,-73.901565"
27Q260,"8-21 Bay 25th Street, Far Rockaway NY 11691(40.601537, -73.763995)",11691,"40.601537,-73.763995"
02M374,"40 Irving Place, Manhattan NY 10003(40.735361, -73.987064)",10003,"40.735361,-73.987064"
10X565,"2474 Crotona Avenue, Bronx NY 10458(40.855392, -73.882487)",10458,"40.855392,-73.882487"
11X514,"921 East 228th Street, Bronx NY 10466(40.888242, -73.852714)",10466,"40.888242,-73.852714"
23K697,"226 Bristol Street, Brooklyn NY 11212(40.665568, -73.912102)",11212,"40.665568,-73.912102"
29Q248,"143-10 Springfield Boulevard, Springfield Gardens NY 11413(40.66903, -73.757744)",11413,"40.66903,-73.757744"
02M305,"350 Grand Street, Manhattan NY 10002(40.717329, -73.989329)",10002,"40.717329,-73.989329"
08X559,"900 Tinton Avenue, Bronx NY 10456(40.821723, -73.902892)",10456,"40.821723,-73.902892"
19K683,"370 Fountain Avenue, Brooklyn NY 11208(40.67002, -73.874537)",11208,"40.67002,-73.874537"
11X290,"800 East Gun Hill Road, Bronx NY 10467(40.875172, -73.861649)",10467,"40.875172,-73.861649"
02M135,"411 Pearl Street, Manhattan NY 10038(40.711441, -74.000851)",10038,"40.711441,-74.000851"
02M500,"111 East 33rd Street, Manhattan NY 10016(40.74651, -73.98107)",10016,"40.74651,-73.98107"
02M399,"40 Irving Place, Manhattan NY 10003(40.735361, -73.987064)",10003,"40.735361,-73.987064"
09X324,"250 East 164th Street, Bronx NY 10456(40.828009, -73.917705)",10456,"40.828009,-73.917705"
13K419,"49 Flatbush Avenue Extension, Brooklyn NY 11201(40.69733, -73.984528)",11201,"40.69733,-73.984528"
08X376,"1980 Lafayette Avenue, Bronx NY 10473(40.821218, -73.85593)",10473,"40.821218,-73.85593"
12X251,"1619 Boston Road, Bronx NY 10460(40.836245, -73.890591)",10460,"40.836245,-73.890591"
22K555,"350 Coney Island Avenue, Brooklyn NY 11218(40.649055, -73.972312)",11218,"40.649055,-73.972312"
12X271,"1716 Southern Boulevard, Bronx NY 10460(40.836821, -73.887688)",10460,"40.836821,-73.887688"
10X284,"99 Terrace View Avenue, Bronx NY 10463(40.877379, -73.912686)",10463,"40.877379,-73.912686"
29Q326,"188-04 91st Avenue, Hollis NY 11423(40.711857, -73.771196)",11423,"40.711857,-73.771196"
15K429,"284 Baltic Street, Brooklyn NY 11201(40.685006, -73.993293)",11201,"40.685006,-73.993293"
15K656,"345 Dean Street, Brooklyn NY 11217(40.683951, -73.980266)",11217,"40.683951,-73.980266"
09X413,"240 East 172nd Street, Bronx NY 10457(40.839307, -73.911366)",10457,"40.839307,-73.911366"
03M860,"215 West 114th Street, Manhattan NY 10026(40.80261, -73.954152)",10026,"40.80261,-73.954152"
29Q272,"143-10 Springfield Boulevard, Springfield Gardens NY 11413(40.66903, -73.757744)",11413,"40.66903,-73.757744"
28Q690,"116-25 Guy R Brewer Boulevard, Jamaica NY 11434(40.685838, -73.783438)",11434,"40.685838,-73.783438"
16K498,"1396 Broadway, Brooklyn NY 11221(40.688399, -73.920603)",11221,"40.688399,-73.920603"
27Q400,"156-10 Baisley Boulevard, Jamaica NY 11434(40.673949, -73.782684)",11434,"40.673949,-73.782684"
11X299,"925 Astor Avenue, Bronx NY 10469(40.860443, -73.860729)",10469,"40.860443,-73.860729"
09X404,"1110 Boston Road, Bronx NY 10456(40.827455, -73.90392)",10456,"40.827455,-73.90392"
16K688,"125 Stuyvesant Avenue, Brooklyn NY 11221(40.691467, -73.932254)",11221,"40.691467,-73.932254"
10X225,"2225 Webster Avenue, Bronx NY 10457(40.854257, -73.897404)",10457,"40.854257,-73.897404"
05M157,"2005 Madison Avenue, Manhattan NY 10035(40.807019, -73.938714)",10035,"40.807019,-73.938714"
26Q315,"230-17 Hillside Avenue, Queens Village NY 11427(40.733888, -73.739726)",11427,"40.733888,-73.739726"
15K423,"112 Schermerhorn Street, Brooklyn NY 11201(40.690007, -73.989369)",11201,"40.690007,-73.989369"
11X265,"800 East Gun Hill Road, Bronx NY 10467(40.875172, -73.861649)",10467,"40.875172,-73.861649"
24Q267,"30-20 Thomson Avenue, Long Island City NY 11101(40.744175, -73.937004)",11101,"40.744175,-73.937004"
31R064,"100 Essex Drive, Staten Island NY 10314(40.581958, -74.159343)",10314,"40.581958,-74.159343"
25Q240,"35-01 Union Street, Flushing NY 11354(40.764892, -73.826811)",11354,"40.764892,-73.826811"
28Q687,"94-50 159th Street, Jamaica NY 11433(40.700884, -73.798364)",11433,"40.700884,-73.798364"
17K382,"911 Flatbush Avenue, Brooklyn NY 11226(40.649602, -73.957173)",11226,"40.649602,-73.957173"
12X372,"2024 Mohegan Avenue, Bronx NY 10460(40.843781, -73.884192)",10460,"40.843781,-73.884192"
10X549,"2780 Reservoir Avenue, Bronx NY 10468(40.869061, -73.897066)",10468,"40.869061,-73.897066"
29Q492,"207- 01 116th Avenue, Cambria Heights NY 11411(40.698786, -73.74633)",11411,"40.698786,-73.74633"
02M288,"525 West 50th Street, Manhattan NY 10019(40.765474, -73.9927)",10019,"40.765474,-73.9927"
05M670,"200-214 West 135th Street, Manhattan NY 10030(40.815237, -73.944299)",10030,"40.815237,-73.944299"
07X473,"701 St. Anns Avenue, Bronx NY 10455(40.818041, -73.911633)",10455,"40.818041,-73.911633"
32K556,"797 Bushwick Avenue, Brooklyn NY 11221(40.695436, -73.927349)",11221,"40.695436,-73.927349"
17K548,"883 Classon Avenue, Brooklyn NY 11225(40.669805, -73.960689)",11225,"40.669805,-73.960689"
18K629,"5800 Tilden Avenue, Brooklyn NY 11203(40.647728, -73.922212)",11203,"40.647728,-73.922212"
08X367,"456 White Plains Road, Bronx NY 10473(40.815043, -73.85607)",10473,"40.815043,-73.85607"
12X478,"1551 East 172nd Street, Bronx NY 10472(40.832508, -73.878191)",10472,"40.832508,-73.878191"
19K409,"2057 Linden Boulevard, Brooklyn NY 11207(40.661104, -73.886664)",11207,"40.661104,-73.886664"
07X500,"600 Saint Ann's Avenue, Bronx NY 10455(40.814857, -73.912038)",10455,"40.814857,-73.912038"
26Q566,"74-20 Commonwealth Boulevard, Bellerose NY 11426(40.744197, -73.728834)",11426,"40.744197,-73.728834"
21K559,"2630 Benson Avenue, Brooklyn NY 11214(40.593028, -73.986313)",11214,"40.593028,-73.986313"
02M422,"351 West 18th Street, Manhattan NY 10011(40.743407, -74.00254)",10011,"40.743407,-74.00254"
15K464,"237 7th Avenue, Brooklyn NY 11215(40.669255, -73.97858)",11215,"40.669255,-73.97858"
03M417,"145 West 84th Street, Manhattan NY 10024(40.786134, -73.974483)",10024,"40.786134,-73.974483"
18K633,"1600 Rockaway Parkway, Brooklyn NY 11236(40.640543, -73.898601)",11236,"40.640543,-73.898601"
09X263,"1595 Bathgate Avenue, Bronx NY 10457(40.839508, -73.901774)",10457,"40.839508,-73.901774"
02M300,"525 West 50th Street, Manhattan NY 10019(40.765474, -73.9927)",10019,"40.765474,-73.9927"
09X327,"1501 Jerome Avenue, Bronx NY 10452(40.842503, -73.916084)",10452,"40.842503,-73.916084"
02M047,"223 East 23rd Street, Manhattan NY 10010(40.738374, -73.981329)",10010,"40.738374,-73.981329"
24Q293,"45-10 94th Street, Elmhurst NY 11373(40.743228, -73.871505)",11373,"40.743228,-73.871505"
01M448,"200 Monroe Street, Manhattan NY 10002(40.712269, -73.984128)",10002,"40.712269,-73.984128"
29Q259,"109-89 204th Street, Saint Albans NY 11412(40.705989, -73.752885)",11412,"40.705989,-73.752885"
25Q252,"158-40 76th Road, Fresh Meadows NY 11366(40.724195, -73.80938)",11366,"40.724195,-73.80938"
30Q580,"34-12 36th Avenue, Astoria NY 11106(40.754975, -73.926977)",11106,"40.754975,-73.926977"
02M655,"320 East 96th Street, Manhattan NY 10128(40.783286, -73.945933)",10128,"40.783286,-73.945933"
03M299,"122 Amsterdam Avenue, Manhattan NY 10023(40.774891, -73.985608)",10023,"40.774891,-73.985608"
10X433,"2780 Reservoir Avenue, Bronx NY 10468(40.869061, -73.897066)",10468,"40.869061,-73.897066"
18K642,"1600 Rockaway Parkway, Brooklyn NY 11236(40.640543, -73.898601)",11236,"40.640543,-73.898601"
16K455,"1700 Fulton Street, Brooklyn NY 11213(40.678478, -73.931604)",11213,"40.678478,-73.931604"
03M403,"145 West 84th Street, Manhattan NY 10024(40.786134, -73.974483)",10024,"40.786134,-73.974483"
08X320,"3000 East Tremont Avenue, Bronx NY 10461(40.839775, -73.839583)",10461,"40.839775,-73.839583"
08X348,"3000 East Tremont Avenue, Bronx NY 10461(40.839775, -73.839583)",10461,"40.839775,-73.839583"
28Q310,"167-01 Gothic Drive, Jamaica NY 11432(40.714551, -73.798658)",11432,"40.714551,-73.798658"
05M369,"509 West 129th Street, Manhattan NY 10027(40.815747, -73.95552)",10027,"40.815747,-73.95552"
17K408,"911 Flatbush Avenue, Brooklyn NY 11226(40.649602, -73.957173)",11226,"40.649602,-73.957173"
12X511,"1619 Boston Road, Bronx NY 10460(40.836245, -73.890591)",10460,"40.836245,-73.890591"
11X542,"925 Astor Avenue, Bronx NY 10469(40.860443, -73.860729)",10469,"40.860443,-73.860729"
08X530,"965 Longwood Avenue, Bronx NY 10459(40.817741, -73.897876)",10459,"40.817741,-73.897876"
18K567,"6565 Flatlands Avenue, Brooklyn NY 11236(40.634451, -73.916927)",11236,"40.634451,-73.916927"
19K502,"400 Pennsylvania Avenue, Brooklyn NY 11207(40.666868, -73.895122)",11207,"40.666868,-73.895122"
10X438,"500 East Fordham Road, Bronx NY 10458(40.859466, -73.888625)",10458,"40.859466,-73.888625"
05M304,"6 Edgecombe Avenue, Manhattan NY 10030(40.817228, -73.947151)",10030,"40.817228,-73.947151"
02M615,"131 Avenue Of The Americas, Manhattan NY 10013(40.72463, -74.005058)",10013,"40.72463,-74.005058"
28Q896,"150-91 87th Road, Jamaica NY 11432(40.708409, -73.804166)",11432,"40.708409,-73.804166"
31R047,"100 Essex Drive, Staten Island NY 10314(40.581958, -74.159343)",10314,"40.581958,-74.159343"
18K637,"6565 Flatlands Avenue, Brooklyn NY 11236(40.634451, -73.916927)",11236,"40.634451,-73.916927"
08X332,"965 Longwood Avenue, Bronx NY 10459(40.817741, -73.897876)",10459,"40.817741,-73.897876"
15K448,"610 Henry Street, Brooklyn NY 11231(40.679462, -74.002022)",11231,"40.679462,-74.002022"
08X349,"3000 East Tremont Avenue, Bronx NY 10461(40.839775, -73.839583)",10461,"40.839775,-73.839583"
26Q435,"230-17 Hillside Avenue, Queens Village NY 11427(40.733888, -73.739726)",11427,"40.733888,-73.739726"
11X509,"925 Astor Avenue, Bronx NY 10469(40.860443, -73.860729)",10469,"40.860443,-73.860729"
25Q281,"46-21 Colden Street, Flushing NY 11355(40.74943, -73.821402)",11355,"40.74943,-73.821402"
29Q498,"207- 01 116th Avenue, Cambria Heights NY 11411(40.698786, -73.74633)",11411,"40.698786,-73.74633"
25Q670,"75-40 Parsons Boulevard, Fresh Meadows NY 11366(40.72528, -73.811408)",11366,"40.72528,-73.811408"
23K647,"985 Rockaway Avenue, Brooklyn NY 11212(40.655644, -73.906662)",11212,"40.655644,-73.906662"
02M432,"111 East 33rd Street, Manhattan NY 10016(40.74651, -73.98107)",10016,"40.74651,-73.98107"
03M402,"145 West 84th Street, Manhattan NY 10024(40.786134, -73.974483)",10024,"40.786134,-73.974483"
07X551,"339 Morris Avenue, Bronx NY 10451(40.813681, -73.925995)",10451,"40.813681,-73.925995"
19K615,"1 Wells Street, Brooklyn NY 11208(40.67878, -73.875328)",11208,"40.67878,-73.875328"
32K168,"400 Irving Avenue, Brooklyn NY 11237(40.696457, -73.911751)",11237,"40.696457,-73.911751"
13K670,"71-77 Clinton Avenue, Brooklyn NY 11205(40.695389, -73.968759)",11205,"40.695389,-73.968759"
17K547,"883 Classon Avenue, Brooklyn NY 11225(40.669805, -73.960689)",11225,"40.669805,-73.960689"
02M418,"75 Broad Street, Manhattan NY 10004(40.704697, -74.011202)",10004,"40.704697,-74.011202"
02M544,"850 10th Avenue, Manhattan NY 10019(40.767848, -73.98861)",10019,"40.767848,-73.98861"
02M543,"350 Grand Street, Manhattan NY 10002(40.717329, -73.989329)",10002,"40.717329,-73.989329"
29Q313,"207- 01 116th Avenue, Cambria Heights NY 11411(40.698786, -73.74633)",11411,"40.698786,-73.74633"
17K600,"901 Classon Avenue, Brooklyn NY 11225(40.669805, -73.960689)",11225,"40.669805,-73.960689"
17K489,"402 Eastern Parkway, Brooklyn NY 11225(40.669561, -73.955188)",11225,"40.669561,-73.955188"
02M296,"525 West 50th Street, Manhattan NY 10019(40.765474, -73.9927)",10019,"40.765474,-73.9927"
21K344,"521 West Avenue, Brooklyn NY 11224(40.582518, -73.972009)",11224,"40.582518,-73.972009"
09X231,"4143 Third Avenue, Bronx NY 10457(40.845366, -73.897479)",10457,"40.845366,-73.897479"
11X275,"800 East Gun Hill Road, Bronx NY 10467(40.875172, -73.861649)",10467,"40.875172,-73.861649"
09X241,"1595 Bathgate Avenue, Bronx NY 10457(40.839508, -73.901774)",10457,"40.839508,-73.901774"
21K468,"2630 Benson Avenue, Brooklyn NY 11214(40.593028, -73.986313)",11214,"40.593028,-73.986313"
30Q502,"21-16 44th Road, Long Island City NY 11101(40.748502, -73.946488)",11101,"40.748502,-73.946488"
24Q264,"30-20 Thomson Avenue, Long Island City NY 11101(40.744175, -73.937004)",11101,"40.744175,-73.937004"
